ablation,arrival_count,average_communication_delay_s,average_end_to_end_delay_s,average_energy_j,average_reward_per_request,average_slot_crossings,bandit_action_count,bandit_updated,epoch,execution_agent,failure_count,feasible_count,p95_end_to_end_delay_s,processed_request_count,request_count,route_estimate_cache_hits,route_estimate_cache_misses,route_mode_local_count,route_mode_min_cost_max_flow_count,routing_precomputed_nodes,routing_precomputed_slots,routing_route_result_hits,routing_route_result_misses,routing_shortest_path_hits,routing_shortest_path_misses,seed,service_routing_strategy,slot_duration_s,slot_mod,slot_start_time_s,success_rate,task_completion_rate,total_reward
sc_nfv,4,1.857358913847552,51.012855180379574,2061.7368360177034,-21.64218417376245,0.1794871794871795,0,False,68,SCNFVChainingOrbitExecutionAgent,0,4,82.81982729011202,4,4,6059,61676,2,37,180,606,2671,61851,0,0,44,min_cost_max_flow,10.0,67,670.0,1.0,1.0,-86.5687366950498
sc_nfv,6,1.7535039011342286,47.28994177275374,2069.7199355168,-20.15780867041158,0.13725490196078433,0,False,69,SCNFVChainingOrbitExecutionAgent,0,6,91.9799400900099,6,6,6146,62843,2,49,180,606,2722,63018,0,0,44,min_cost_max_flow,10.0,68,680.0,1.0,1.0,-120.94685202246947
sc_nfv,4,1.6440560979285124,45.4098567565851,1981.960628314643,-19.35311907962283,0.23529411764705882,4,True,70,SCNFVChainingOrbitExecutionAgent,0,4,87.47765066072202,4,4,6206,63611,,34,180,606,2756,63790,0,0,44,min_cost_max_flow,10.0,69,690.0,1.0,1.0,-77.41247631849131
sc_nfv,4,1.8213000017776555,41.6596948665634,1665.2321736157387,-17.663017250794802,0.17647058823529413,0,False,71,SCNFVChainingOrbitExecutionAgent,0,4,82.75201819743427,4,4,6265,64390,,34,180,606,2790,64569,0,0,44,min_cost_max_flow,10.0,70,700.0,1.0,1.0,-70.65206900317921
sc_nfv,5,1.5165481460260253,62.439138237151816,2767.9267927927904,-26.636411370536404,0.15,0,False,72,SCNFVChainingOrbitExecutionAgent,0,5,80.67184769823587,5,5,6384,65605,5,55,180,606,2850,65784,0,0,44,min_cost_max_flow,10.0,71,710.0,1.0,1.0,-133.18205685268202
sc_nfv,4,1.4099521754036168,46.25643061960531,2059.909866325267,-19.738518167637285,0.1794871794871795,0,False,73,SCNFVChainingOrbitExecutionAgent,0,4,79.37460242699444,4,4,6459,66452,,39,180,606,2889,66631,0,0,44,min_cost_max_flow,10.0,72,720.0,1.0,1.0,-78.95407267054914
sc_nfv,6,1.589226488582803,42.25946936165436,1794.1804308397216,-17.980296003165577,0.1568627450980392,0,False,74,SCNFVChainingOrbitExecutionAgent,0,6,67.10628599498637,6,6,6557,67609,4,47,180,606,2940,67788,0,0,44,min_cost_max_flow,10.0,73,730.0,1.0,1.0,-107.88177601899346
sc_nfv,3,1.7328585883351453,62.00130999390141,2522.4982336079133,-26.314022937725312,0.20930232558139536,0,False,75,SCNFVChainingOrbitExecutionAgent,0,3,71.24135232238518,3,3,6638,68499,,43,180,606,2983,68678,0,0,44,min_cost_max_flow,10.0,74,740.0,1.0,1.0,-78.94206881317594
sc_nfv,1,1.8907108326793605,29.014582775456233,1034.6929127886442,-12.22664885785568,0.16666666666666666,0,False,76,SCNFVChainingOrbitExecutionAgent,0,1,29.014582775456233,1,1,6649,68662,,6,180,606,2989,68841,0,0,44,min_cost_max_flow,10.0,75,750.0,1.0,1.0,-12.22664885785568
sc_nfv,7,1.6336524798464764,41.42506328839478,1705.0779217113509,-17.59307206838472,0.22580645161290322,0,False,77,SCNFVChainingOrbitExecutionAgent,0,7,64.16547070406705,7,7,6759,70093,,62,180,606,3051,70272,0,0,44,min_cost_max_flow,10.0,76,760.0,1.0,1.0,-123.15150447869306
